,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded,modis_smoothed,starfm
14,14,14,14,Hn2_3,"{'type': 'Polygon', 'coordinates': [[[-119.47339908816289, 46.68322071758054], [-119.45331530308788, 46.68322077736854], [-119.45331524517691, 46.695790931335615], [-119.4733990638503, 46.69579093650437], [-119.47339908816289, 46.68322071758054]]]}",169.0,168.0,1.0,1662.0,1662.0,0.0,2023-06-18 01:14:12.825290,,
15,15,15,15,IB2,"{'type': 'Polygon', 'coordinates': [[[-88.24980583372893, 41.833257170331585], [-88.2321700861867, 41.833257204742374], [-88.2321700861867, 41.845921033452], [-88.24980583372893, 41.845921075126284], [-88.24980583372893, 41.833257170331585]]]}",199.0,199.0,0.0,1687.0,1687.0,0.0,2023-06-18 02:01:53.321985,,
16,16,16,16,Jo1,"{'type': 'Polygon', 'coordinates': [[[-106.6428352432039, 32.57494162896886], [-106.62678242283386, 32.57494159450265], [-106.62678242283386, 32.587489546762335], [-106.6428352432039, 32.58748955181876], [-106.6428352432039, 32.57494162896886]]]}",886.0,886.0,0.0,2064.0,2064.0,0.0,2023-06-18 04:14:37.855700,,
17,17,17,17,KFS,"{'type': 'Polygon', 'coordinates': [[[-95.19835171303416, 39.049939793200835], [-95.18161670945864, 39.04993979653709], [-95.18161670945864, 39.0624699076058], [-95.19835171303416, 39.06246992767962], [-95.19835171303416, 39.049939793200835]]]}",323.0,323.0,0.0,1797.0,1797.0,0.0,2023-06-18 05:31:52.927463,,
18,18,18,18,KLS,"{'type': 'Polygon', 'coordinates': [[[-97.57683616613856, 38.767750074514275], [-97.5599273024157, 38.76775008371711], [-97.5599273024157, 38.78113181452542], [-97.57683616613856, 38.7811318635118], [-97.57683616613856, 38.767750074514275]]]}",546.0,546.0,0.0,1974.0,1974.0,0.0,2023-06-18 07:39:06.904085,,
19,19,19,19,KM2_3,"{'type': 'Polygon', 'coordinates': [[[-85.31962798877352, 42.43752332600201], [-85.29971363350906, 42.437523319554174], [-85.29971363350906, 42.4525638734083], [-85.31962798877352, 42.452563927035996], [-85.31962798877352, 42.43752332600201]]]}",390.0,390.0,0.0,1700.0,1700.0,0.0,2023-06-18 09:26:10.538314,,
20,20,20,20,KM4,"{'type': 'Polygon', 'coordinates': [[[-85.33929712385442, 42.43536961906556], [-85.32015867183178, 42.435369637788526], [-85.32015867183178, 42.44787741459807], [-85.33929712385442, 42.44787738758698], [-85.33929712385442, 42.43536961906556]]]}",457.0,457.0,0.0,1738.0,1738.0,0.0,2023-06-18 11:10:53.652736,,
21,21,21,21,Kon,,,,,,,,,,
22,22,22,22,LS1_2,"{'type': 'Polygon', 'coordinates': [[[-110.15341860126475, 31.55418199702982], [-110.12419363086036, 31.5541820406843], [-110.12419363086036, 31.570818943946385], [-110.15341860126475, 31.570818906119747], [-110.15341860126475, 31.55418199702982]]]}",678.0,678.0,0.0,2075.0,2075.0,0.0,2023-06-18 13:45:48.278115,,
23,23,23,23,Mpj,"{'type': 'Polygon', 'coordinates': [[[-106.24659500098333, 34.432910828532826], [-106.22994472402183, 34.432910762731666], [-106.22994472402183, 34.44533381763026], [-106.24659500098333, 34.44533384933106], [-106.24659500098333, 34.432910828532826]]]}",544.0,544.0,0.0,1964.0,1964.0,0.0,2023-06-18 15:47:10.394001,,
24,24,24,24,RFW,"{'type': 'Polygon', 'coordinates': [[[-105.22682984778305, 39.867828122526795], [-105.20962213364274, 39.86782810615921], [-105.20962213364274, 39.88031365780713], [-105.22682984778305, 39.880313635875254], [-105.22682984778305, 39.867828122526795]]]}",851.0,851.0,0.0,2144.0,2144.0,0.0,2023-06-18 18:40:59.116870,,
25,25,25,25,Rls,"{'type': 'Polygon', 'coordinates': [[[-116.74356863246732, 43.140442652168666], [-116.72562964971273, 43.14044264323258], [-116.72562966187328, 43.153093112585985], [-116.74356865219042, 43.15309313155949], [-116.74356863246732, 43.140442652168666]]]}",653.0,653.0,0.0,2060.0,2060.0,0.0,2023-06-18 20:29:00.287174,,
26,26,26,26,Ro4,"{'type': 'Polygon', 'coordinates': [[[-93.08250379780068, 44.67070360570523], [-93.06207666975908, 44.67070358242331], [-93.06207666975908, 44.68330501167151], [-93.08250379780068, 44.68330502718048], [-93.08250379780068, 44.67070360570523]]]}",466.0,466.0,0.0,1899.0,1899.0,0.0,2023-06-18 21:44:20.147146,,
27,27,27,27,Rwe_Rms,"{'type': 'Polygon', 'coordinates': [[[-116.7670011743958, 43.05835954215389], [-116.74026442455076, 43.0583595068186], [-116.74026444500768, 43.07089852907449], [-116.76700115716929, 43.07089853105114], [-116.7670011743958, 43.05835954215389]]]}",496.0,496.0,0.0,1927.0,1927.0,0.0,2023-06-18 23:02:00.959696,,
28,28,28,28,Rwf,"{'type': 'Polygon', 'coordinates': [[[-116.73134176200385, 43.11388423662295], [-116.71430349491345, 43.113884261756134], [-116.71430356956441, 43.12650798792691], [-116.73134180698189, 43.12650798980051], [-116.73134176200385, 43.11388423662295]]]}",558.0,558.0,0.0,1981.0,1981.0,0.0,2023-06-19 00:16:02.842164,,
29,29,29,29,Rws,"{'type': 'Polygon', 'coordinates': [[[-116.72308351787733, 43.162533016678914], [-116.70270096018501, 43.16253301998678], [-116.70270095345931, 43.175018507780514], [-116.72308350625974, 43.17501852197695], [-116.72308351787733, 43.162533016678914]]]}",751.0,751.0,0.0,2145.0,2145.0,0.0,2023-06-19 02:13:08.500259,,
30,30,30,30,SCg,"{'type': 'Polygon', 'coordinates': [[[-117.70298429911257, 33.729215574524204], [-117.68586143130098, 33.72921558504622], [-117.68586143130098, 33.74166988581797], [-117.70298429911257, 33.741669858213086], [-117.70298429911257, 33.729215574524204]]]}",1397.0,1397.0,0.0,2313.0,2313.0,0.0,2023-06-19 06:45:44.140146,,
31,31,31,31,SRM,"{'type': 'Polygon', 'coordinates': [[[-110.87351878190736, 31.8156101983367], [-110.85854065380828, 31.815610209640234], [-110.85854065380828, 31.82807790457466], [-110.87351878190736, 31.828077894774758], [-110.87351878190736, 31.8156101983367]]]}",882.0,882.0,0.0,2246.0,2246.0,0.0,2023-06-19 10:42:10.891107,,
32,32,32,32,SdH,"{'type': 'Polygon', 'coordinates': [[[-101.41766054992694, 42.062548617982834], [-101.39611863651875, 42.06254861247241], [-101.39611863651875, 42.07497167494632], [-101.41766054992694, 42.07497168040241], [-101.41766054992694, 42.062548617982834]]]}",811.0,811.0,0.0,2171.0,2171.0,0.0,2023-06-19 15:41:07.528245,,
33,33,33,33,Seg,"{'type': 'Polygon', 'coordinates': [[[-106.71027906280797, 34.355973467962734], [-106.69366895664899, 34.35597342802287], [-106.69366895664899, 34.368516931844454], [-106.71027906280797, 34.368516911034064], [-106.71027906280797, 34.355973467962734]]]}",1318.0,1318.0,0.0,2579.0,2579.0,0.0,2023-06-19 21:55:25.553106,,
34,34,34,34,Ses,"{'type': 'Polygon', 'coordinates': [[[-106.75413885997456, 34.329098484371485], [-106.73744392864262, 34.32909846755264], [-106.73744392864263, 34.341606275727926], [-106.75413885997456, 34.34160622818531], [-106.75413885997456, 34.329098484371485]]]}",1306.0,1306.0,0.0,2569.0,2569.0,0.0,2023-06-20 02:18:11.870667,,
35,35,35,35,Shd,"{'type': 'Polygon', 'coordinates': [[[-96.69484830166449, 36.925039917854754], [-96.6763965506145, 36.92503994199053], [-96.6763965506145, 36.937663663280404], [-96.69484830166449, 36.937663654643394], [-96.69484830166449, 36.925039917854754]]]}",1194.0,1194.0,0.0,2203.0,2203.0,0.0,2023-06-20 08:42:21.642620,,
36,36,36,36,Snd,"{'type': 'Polygon', 'coordinates': [[[-121.76282191594971, 38.02917135959836], [-121.74514164498021, 38.02917131839572], [-121.74514164498021, 38.04171029184512], [-121.76282191594971, 38.04171034547462], [-121.76282191594971, 38.02917135959836]]]}",117.0,105.0,12.0,1626.0,1626.0,0.0,2023-06-20 21:58:34.132196,,
37,37,37,37,Snf,"{'type': 'Polygon', 'coordinates': [[[-121.73608514685534, 38.037554457899915], [-121.71870359368671, 38.03755445974561], [-121.71870359368671, 38.05002209263543], [-121.73608514685534, 38.0500220661767], [-121.73608514685534, 38.037554457899915]]]}",604.0,604.0,0.0,1943.0,1943.0,0.0,2023-06-21 00:22:04.282107,,
38,38,38,38,Ton,"{'type': 'Polygon', 'coordinates': [[[-120.97358331075897, 38.425019108566026], [-120.95736116168874, 38.42501906983065], [-120.95736116168874, 38.43742432737566], [-120.97358331075897, 38.43742434275251], [-120.97358331075897, 38.425019108566026]]]}",1349.0,1349.0,0.0,2485.0,2485.0,0.0,2023-06-21 06:54:36.879504,,
39,39,39,39,Tx1,"{'type': 'Polygon', 'coordinates': [[[-97.30074205039199, 30.612491261090685], [-97.28623655464727, 30.61249122235803], [-97.28623655464727, 30.624936567689616], [-97.30074205039199, 30.624936594420568], [-97.30074205039199, 30.612491261090685]]]}",335.0,335.0,0.0,1806.0,1806.0,0.0,2023-06-21 09:36:50.646001,,
40,40,40,40,Tx2,"{'type': 'Polygon', 'coordinates': [[[-97.30074205039199, 30.612491261090685], [-97.28623655464727, 30.61249122235803], [-97.28623655464727, 30.624936567689616], [-97.30074205039199, 30.624936594420568], [-97.30074205039199, 30.612491261090685]]]}",335.0,335.0,0.0,1806.0,1806.0,0.0,2023-06-21 12:31:29.261030,,
41,41,41,41,Var,"{'type': 'Polygon', 'coordinates': [[[-120.95917155006855, 38.408230607191534], [-120.94303406912871, 38.408230595298434], [-120.94303406912871, 38.420805240597105], [-120.95917155006855, 38.420805219041334], [-120.95917155006855, 38.408230607191534]]]}",1350.0,1350.0,0.0,2490.0,2490.0,0.0,2023-06-21 20:28:03.124582,,
42,42,42,42,Wdn,"{'type': 'Polygon', 'coordinates': [[[-106.27096844851557, 40.77702989554018], [-106.25199941571522, 40.777029938528514], [-106.25199941571522, 40.78953770092064], [-106.27096844851557, 40.78953771868464], [-106.27096844851557, 40.77702989554018]]]}",668.0,668.0,0.0,2021.0,2021.0,0.0,2023-06-22 00:23:06.572516,,
43,43,43,43,Wjs,"{'type': 'Polygon', 'coordinates': [[[-105.87064820562368, 34.418280440459675], [-105.85228117053143, 34.41828045292297], [-105.85228117053143, 34.43166223640015], [-105.87064820562368, 34.431662245092646], [-105.87064820562368, 34.418280440459675]]]}",592.0,592.0,0.0,2011.0,2011.0,0.0,2023-06-22 03:24:03.879525,,
44,44,44,44,Wkg,"{'type': 'Polygon', 'coordinates': [[[-109.94936117501814, 31.72908580052934], [-109.9344722339979, 31.729085800101664], [-109.9344722339979, 31.74164268165395], [-109.94936117501814, 31.74164264189339], [-109.94936117501814, 31.72908580052934]]]}",666.0,666.0,0.0,2068.0,2068.0,0.0,2023-06-22 06:44:19.516627,,
45,45,45,45,xAE,"{'type': 'Polygon', 'coordinates': [[[-99.06889599570431, 35.40414310423197], [-99.0489816708978, 35.40414312545801], [-99.0489816708978, 35.41666429904847], [-99.06889599570431, 35.41666431885176], [-99.06889599570431, 35.40414310423197]]]}",1191.0,1191.0,0.0,2205.0,2205.0,0.0,2023-06-22 13:48:59.634522,,
46,46,46,46,xCL,"{'type': 'Polygon', 'coordinates': [[[-97.57747380381198, 33.39582646144364], [-97.5625804446655, 33.39582641726548], [-97.5625804446655, 33.40829413027009], [-97.57747380381198, 33.408294057368536], [-97.57747380381198, 33.39582646144364]]]}",756.0,756.0,0.0,2130.0,2130.0,0.0,2023-06-22 18:54:05.059087,,
47,47,47,47,xCP,"{'type': 'Polygon', 'coordinates': [[[-104.75529325095303, 40.8083506471379], [-104.73632427070461, 40.80835061883011], [-104.73632427070461, 40.820791573655704], [-104.75529325095303, 40.820791517346535], [-104.75529325095303, 40.8083506471379]]]}",1043.0,1043.0,0.0,2271.0,2271.0,0.0,2023-06-23 00:53:55.282546,,
48,48,48,48,xDC,"{'type': 'Polygon', 'coordinates': [[[-99.11789263765942, 47.15413305146438], [-99.0960073493779, 47.154133046984384], [-99.09600736508924, 47.16668093257041], [-99.11789260361125, 47.166680977755576], [-99.11789263765942, 47.15413305146438]]]}",274.0,274.0,0.0,1748.0,1748.0,0.0,2023-06-23 03:05:08.028381,,
49,49,49,49,xJR,"{'type': 'Polygon', 'coordinates': [[[-106.85056242756559, 32.58309731906964], [-106.83558425910091, 32.58309728384249], [-106.83558425910091, 32.59582360846919], [-106.85056242756559, 32.59582355892381], [-106.85056242756559, 32.58309731906964]]]}",1321.0,1321.0,0.0,2089.0,2089.0,0.0,2023-06-23 09:37:45.298092,,
50,50,50,50,xKA,"{'type': 'Polygon', 'coordinates': [[[-96.62294532108284, 39.10410455162546], [-96.6036329026137, 39.10410456247175], [-96.6036329026137, 39.11669257906893], [-96.62294532108284, 39.11669256745746], [-96.62294532108284, 39.10410455162546]]]}",420.0,420.0,0.0,1880.0,1880.0,0.0,2023-06-23 12:49:04.043259,,
51,51,51,51,xKZ,"{'type': 'Polygon', 'coordinates': [[[-96.57236125811367, 39.09564117963692], [-96.55266539406945, 39.0956411888398], [-96.55266539406945, 39.10826485585626], [-96.57236125811367, 39.108264841229975], [-96.57236125811367, 39.09564117963692]]]}",458.0,458.0,0.0,1903.0,1903.0,0.0,2023-06-23 16:34:34.858651,,
52,52,52,52,xMB,"{'type': 'Polygon', 'coordinates': [[[-109.39588863566556, 38.24164752655627], [-109.37971105499994, 38.24164745408041], [-109.37971105499994, 38.25418651378006], [-109.39588863566556, 38.254186483295385], [-109.39588863566556, 38.24164752655627]]]}",967.0,967.0,0.0,1928.0,1928.0,0.0,2023-06-23 22:13:19.220214,,
53,53,53,53,xNG,"{'type': 'Polygon', 'coordinates': [[[-100.92603580237838, 46.762485693690316], [-100.90427536775385, 46.762485763369284], [-100.9042753394154, 46.77503362522795], [-100.92603576087365, 46.77503361548567], [-100.92603580237838, 46.762485693690316]]]}",887.0,887.0,0.0,2010.0,2010.0,0.0,2023-06-24 02:49:06.358610,,
54,54,54,54,xNQ,"{'type': 'Polygon', 'coordinates': [[[-112.4602363590214, 40.17075716092598], [-112.44363072772573, 40.1707571736743], [-112.44363072772573, 40.183318480918125], [-112.4602363590214, 40.183318480080324], [-112.4602363590214, 40.17075716092598]]]}",754.0,754.0,0.0,2133.0,2133.0,0.0,2023-06-24 06:39:23.619742,,
55,55,55,55,xWD,"{'type': 'Polygon', 'coordinates': [[[-99.25111274177345, 47.120810167182285], [-99.23081488392468, 47.1208101545404], [-99.23081486465752, 47.1333357902298], [-99.25111268411071, 47.13333581349271], [-99.25111274177345, 47.120810167182285]]]}",204.0,202.0,2.0,1698.0,1698.0,0.0,2023-06-24 08:22:08.797172,,
56,56,56,56,xYE,"{'type': 'Polygon', 'coordinates': [[[-110.54795984299818, 44.94687802287346], [-110.52950358897797, 44.946878021111544], [-110.52950358758127, 44.95929658049268], [-110.54795985119237, 44.959296637507414], [-110.54795984299818, 44.94687802287346]]]}",239.0,239.0,0.0,1719.0,1719.0,0.0,2023-06-24 09:57:50.295736,,
